Class;Name;Comments;M or O;D or A;Class;Dims;Size or content;Min;Max;Accessory Class
ONDE_COMPONENT;ONDE_COMPONENT:VISUALIZATION_CAD;Optional CAD used for visualisation purposes. Contains the CAD file itself. The recommended formats are:  * STEP with a CONTENT_TYPE of "model/step", "model/step+xml", "model/step+zip", or "model/step-xml+zip". Exactly which of the preceding CONTENT_TYPEs is specified should not be treated as significant. The step file should contain application protocols AP203, AP214, or AP242.  * IGES with a CONTENT_TYPE of "application/iges"  * STL with a CONTENT_TYPE of "model/stl", "model/x.stl-ascii", "model/x.stl-binary". Exactly which of the preceding CONTENT_TYPEs is specified should not be treated as significant.  * DXF with a CONTENT_TYPE of "image/vnd.dxf". Applications should warn or otherwise get consent from the end-user before embedding a non-recommended format.  When a dxf is provided for the Visualization CAD, the extrusion of the CAD is implied from the specimen shape: it is of linear nature if the specimen is a plate or a 2D CAD with linear extrusion, it is cylindrical if the specimen is a cylinder or a 2D CAD with cylindrical extrusion. A typical use case for this feature is the ability to superimpose a weld profile to a plate or cylindrical specimen in order to facilitate the interpretation of the indications. ;O;A;H5T_STD_REF_OBJ<ONDE_BINARYFILE>;1;;;;
ONDE_COMPONENT;ONDE_COMPONENT:VISUALIZATION_CAD_FRAME;Definition of the frame defining the visualisation CAD with offset and quaternions in the specimen frame- Identity is used if absent;O;A;H5T_FLOAT;[7];;;;
ONDE_COMPONENT;ONDE_COMPONENT:COMPONENT_FRAME;Definition of the specimen frame in the reference frame. If not provided, default value is identity with the reference frame.;O;A;H5T_FLOAT;[7];;;;
ONDE_COMPONENT;ONDE_COMPONENT:COMMENT;;O;A;H5T_STRING;1;;;;
ONDE_COMPONENT;ONDE_COMPONENT:IMAGE;Photograph or other image of the component. Recommended formats are:  * PNG with a CONTENT_TYPE of "image/png"  * JPEG with a CONTENT_TYPE of "image/jpeg"       Applications should warn or otherwise get consent from the end-user before embedding a non-recommended format. ;O;A;H5T_STD_REF_OBJ<ONDE_BINARYFILE>;1;;;;
ONDE_PLANE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_COMPONENT", "ONDE_PLANE"];;;
ONDE_PLANE;ONDE_PLANE:PLATE_DIMENSIONS;;M;A;H5T_FLOAT;[3];;;;
ONDE_CYLINDER;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_COMPONENT", "ONDE_CYLINDER"];;;
ONDE_CYLINDER;ONDE_CYLINDER:DIMENSIONS;;M;A;H5T_FLOAT;[3];;;;
ONDE_2DCAD;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_COMPONENT", "ONDE_2DCAD"];;;
